ID,ACTION,LOCATION,ITEM SIZE,PROGRAM PROFILE,PROGRAM TYPE,SEC / ACTION,POINTS / ACTION,ACTIONS / HOUR,ACTIVE AT,INACTIVE AT
85eeed16-f0a5-11f0-95e2-42010a40000b,SCANNED FOR TRASH / NO-SALE,MESA,,,,30,0.83,120,2026-01-19T07:00:00.000Z,
85eefe26-f0a5-11f0-95e2-42010a40000b,ITEM PROCESSING FINISHED,MESA,,RC SORTABLE,,55.38,1.54,65,2026-01-19T07:00:00.000Z,
85ef0362-f0a5-11f0-95e2-42010a40000b,ITEM PROCESSING FINISHED,MESA,,RC NONSORT,,112.5,3.13,32,2026-01-19T07:00:00.000Z,
85eef386-f0a5-11f0-95e2-42010a40000b,ITEM PUTAWAY,MESA,MEDIUM,,,20,0.56,180,2026-01-19T07:00:00.000Z,
85ef299a-f0a5-11f0-95e2-42010a40000b,MULTI-ITEM PROCESS FINISHED,MESA,,FC NONSORT,,15,0.42,240,2026-01-19T07:00:00.000Z,
85ef1735-f0a5-11f0-95e2-42010a40000b,MULTI-ITEM PROCESS FINISHED,MESA,,RC SORTABLE,,13.85,0.38,260,2026-01-19T07:00:00.000Z,
85eef8d7-f0a5-11f0-95e2-42010a40000b,ITEM PUTAWAY,MESA,LARGE,,,37.89,1.05,95,2026-01-19T07:00:00.000Z,
85ef20a1-f0a5-11f0-95e2-42010a40000b,MULTI-ITEM PROCESS FINISHED,MESA,,RC NONSORT,,28.13,0.78,128,2026-01-19T07:00:00.000Z,
e504e52f-0c44-11f1-95e2-42010a40000b,MARKED ITEM AS FOUND,MESA,X-LARGE,,,144,4,25,2026-02-18T07:00:00.000Z,
e536da2c-0c44-11f1-95e2-42010a40000b,MARKED ITEM AS FOUND,MESA,MEDIUM,,,20,0.56,180,2026-02-18T07:00:00.000Z,
e4c43d2e-0c44-11f1-95e2-42010a40000b,MARKED ITEM AS FOUND,MESA,SMALL,,,11.61,0.32,310,2026-02-18T07:00:00.000Z,
e56f41eb-0c44-11f1-95e2-42010a40000b,MARKED ITEM AS FOUND,MESA,LARGE,,,37.89,1.05,95,2026-02-18T07:00:00.000Z,
0021f493-2d06-11f1-8647-42010a40000d,CONSOLIDATED MULTIPICK APPOINTMENT,MESA,,,,69.23,1.92,52,2026-04-06T07:00:00.000Z,
